name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Defender Transport,galaxytigers_defender_transport,0,,Galaxy Tigers,"no_drop, no_sell","Special, Requires Dock",,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Defender_Transport,Sets the drone stocked in the hangar as a %s.,Sets the drone of the hangar as a Defender GT,graphics/hullmods/automated_escort.png
Picket Transport,galaxytigers_picket_transport,0,,Galaxy Tigers,"no_drop, no_sell","Special, Requires Dock",,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Picket_Transport,Sets the drone stocked in the hangar as a %s.,Sets the drone of the hangar as a Picket (GT),graphics/hullmods/automated_escort.png
Sentry Transport,galaxytigers_sentry_transport,0,,Galaxy Tigers,"no_drop, no_sell","Special, Requires Dock",,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Sentry_Transport,Sets the drone stocked in the hangar as a %s.,Sets the drone of the hangar as a Sentry (GT),graphics/hullmods/automated_escort.png
Warden Transport,galaxytigers_warden_transport,0,,Galaxy Tigers,"no_drop, no_sell","Special, Requires Dock",,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Warden_Transport,Sets the drone stocked in the hangar as a %s.,Sets the drone of the hangar as a Warden (GT),graphics/hullmods/automated_escort.png
,,,,,,,,,,,,,,,,,,
Automated Carrier,galaxytigers_automated_carrier,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Automated_Carrier,"This ship is mounted with entirely automated fighter equipments, from the building to the refitting. Such systems needs a lot of space, thus %s. Only %s can be used in such conditions.

However, such constraints also comes with benefits. The equipments offer high performances and produce high quality materials, meaning that the mounted fighters need %s less time to be refitted, their max speed is raised by %s and their turn rate by %s

Incompatible with %s.",No manned fighters. Increases replacement rate and overall agility of fighters,graphics/hullmods/galaxytigers_automated_carrier.png
Automated Machinery,galaxytigers_automated_machinery,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Automated_Machinery,"This ship is mounted with completely automated equipments for it to run correctly. If a hangar would have to be installed on this vessel, a heavy adaptation work will have to be performed to integrate new equipments for fighter building and refitting. The standard ones are not compatible with this ship's machinery, thus requiring special ones especially built for this ship, and due to the room they take, %s. Only %s can be used in such conditions.

However, such constraints also comes with benefits. The equipments offer high performances and produce high quality materials, meaning that the mounted fighters need %s less time to be refitted, their max speed is raised by %s and their turn rate by %s

Incompatible with %s.",No manned fighters. Made for non base carrier drones.,graphics/hullmods/galaxytigers_automated_machinery.png
,,,,,,,,,,,,,,,,,,
Upgraded Weapon Processing,galaxytigers_upgraded_weapon_processing,,,,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Upgraded_Weapon_Processing,Upgrades energy and ballistic weapons rate of fire by %s/%s/%s/%s depending of hull size. Doesn't affect their flux/shot.,Upgrade energy & ballistic weapons ROF.,
,,,,,,,,,,,,,,,,,,
Optimized AI Processing,galaxytigers_optimized_ai_processing,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Optimized_AI_Processing,"This ships AI has been modified to send many intel to every other AI being in a fleet, from almost exact target locations to recommended speed and maneuvers to get to it.
Increases 0-flux speed boost of Automated Ships in the fleet by %s and their weapon range by %s.
%s.",More speed boost for Automated Ships in fleet as well as weapon range,graphics/hullmods/galaxytigers_optimized_ai_processing.png
Coordinated Computing,galaxytigers_coordinated_computing,,,,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Optimized_AI_Processing,"This ships AI has been modified to send many intel to every other AI being in a fleet, from almost exact target locations to recommended speed and maneuvers to get to it.
Increases 0-flux speed boost of Automated Ships in the fleet by %s and their weapon range by %s.
%s.",More speed boost for Automated Ships in fleet as well as weapon range,graphics/hullmods/galaxytigers_optimized_ai_processing.png
,,,,,,,,,,,,,,,,,,
First Generation,galaxytigers_firstgen,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_First_Gen,"This vessel is one of the first prototypes deployed by the Galaxy Tigers. Despite these many years of service, these prototypes remain one of the prides of the GT Navy.

Compared to their modern version, this First Generation vessel is lighter (%s armor) but has some redeeming traits in a top speed increase of %s and a turn rate increase of %s.","More speed dans turn rate, trading armor.",graphics/hullmods/galaxytigers_gen_1.png
,,,,,,,,,,,,,,,,,,
Galaxy Tigers armor plates,galaxytigers_commissioned_armor_plates,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,,0,0,0,0,data.hullmods.GT_Commissioned_Armor_Plates,"This ship is commissioned by the Galaxy Tigers. It gets supplementary light armor plates bearing the GT markings.
Those new plates grants %s/%s/%s/%s more armor depending of hull size.",GT Commission,graphics/factions/gtflagmini.png
Deactivated weapons,galaxytigers_deactivated_weapons,,,Galaxy Tigers,"no_drop, no_sell",,,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Deactivated_Weapons,Deactivates every weapons of a ship by giving them 0 range.,Deactivates every weapons of a ship by giving them 0 range.,
Automated Ship,galaxytigers_automated,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.GT_Automated,"This ship is fully automated, and does not require - and can not take on - any human crew.",Does not require and can not support crew.,graphics/hullmods/automated.png
